part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
102253,AB,Active,Active - mature - exiting,50,59,719,769,719,,102253AB
102253,MB,Active,Active - mature - permanent,0,56,na,100,100,,102253MB
102253,NS,Active,Active - NPD - permanent,0,11,na,879,na,[ERROR]: Unable to fc; check baseline.,102253NS
102253,ON,Active,Active - mature - exiting,44,51,767,1004,767,,102253ON
102253,PE,Active,Active - mature - exiting,45,47,30,25,25,,102253PE
102253,SK,X,X - historical,0,58,na,27,na,,102253SK
102260,AB,X,X - historical,32,36,4,0,na,,102260AB
102260,MB,X,X - historical,0,31,na,0,na,,102260MB
102260,ON,X,X - historical,41,42,1,0,na,,102260ON
102260,SK,X,X - historical,0,35,na,0,na,,102260SK
102261,AB,X,X - historical,30,34,25,0,na,,102261AB
102261,MB,Active,Active - mature - permanent,0,19,na,14,14,,102261MB
102261,ON,Active,Active - mature - permanent,30,31,8,20,8,,102261ON
102270,QC,Active,Active - mature - permanent,52,63,646,744,646,,102270QC
102276,AB,X,X - historical,37,41,17,0,na,,102276AB
102276,MB,Active,Active - mature - permanent,0,21,na,25,25,,102276MB
102276,SK,X,X - historical,0,15,na,0,na,,102276SK
102279,QC,X,X - historical,52,61,0,0,na,,102279QC
102280,QC,X,X - historical,52,59,0,0,na,,102280QC
102282,QC,X,X - historical,52,59,16,2,na,,102282QC
102286,QC,Active,Active - mature - exiting,52,61,674,698,674,,102286QC
102287,QC,X,X - historical,52,61,1,0,na,,102287QC
102302,MB,Active,Active - mature - permanent,0,43,na,8,8,,102302MB
102302,ON,X,X - historical,34,35,7,4,na,,102302ON
102302,SK,X,X - historical,0,43,na,4,na,,102302SK
102303,AB,Active,Active - mature - permanent,38,46,41,0,41,,102303AB
102303,BC,X,X - historical,40,45,41,0,na,,102303BC
102303,MB,Active,Active - mature - permanent,0,43,na,6,6,,102303MB
102303,SK,Active,Active - mature - permanent,0,43,na,29,29,,102303SK
102309,MB,X,X - historical,0,34,na,9,na,,102309MB
102309,ON,Active,Active - mature - permanent,39,48,6,0,6,,102309ON
102309,SK,X,X - historical,0,33,na,0,na,,102309SK
102310,AB,X,X - historical,37,49,0,0,na,,102310AB
102310,MB,X,X - historical,0,31,na,4,na,,102310MB
102310,ON,X,X - historical,16,17,11,7,na,,102310ON
102310,SK,X,X - historical,0,43,na,0,na,,102310SK
102311,AB,X,X - historical,45,49,8,0,na,,102311AB
102311,MB,Active,Active - mature - permanent,0,43,na,6,6,,102311MB
102311,ON,Active,Active - mature - permanent,48,49,1,0,1,,102311ON
102311,SK,X,X - historical,0,43,na,0,na,,102311SK
102313,AB,Active,Active - mature - permanent,41,49,23,0,23,,102313AB
102313,MB,Active,Active - mature - permanent,0,34,na,20,20,,102313MB
102313,ON,Active,Active - mature - permanent,48,49,0,0,0,,102313ON
102313,SK,X,X - historical,0,38,na,0,na,,102313SK
102315,AB,X,X - historical,49,53,0,0,na,,102315AB
102315,MB,X,X - historical,0,32,na,17,na,,102315MB
102315,ON,X,X - historical,41,43,0,0,na,,102315ON
102315,SK,X,X - historical,0,23,na,0,na,,102315SK
102316,MB,X,X - historical,0,32,na,0,na,,102316MB
