part,prov,first_ship,last_ship,partprov
102164,SK,2023-10-09,2025-03-10,102164SK
102164,YT,2023-09-25,2024-11-11,102164YT
102165,AB,2023-08-28,2025-06-16,102165AB
102165,BC,2023-09-04,2025-06-09,102165BC
102165,MB,2023-10-09,2025-06-16,102165MB
102165,NS,2024-11-04,2025-06-02,102165NS
102165,NT,2023-12-18,2025-05-26,102165NT
102165,ON,2023-08-21,2025-06-16,102165ON
102165,PE,2023-11-20,2024-07-01,102165PE
102165,SK,2023-10-09,2025-06-16,102165SK
102165,YT,2023-09-25,2025-06-02,102165YT
102167,AB,2023-10-23,2024-04-15,102167AB
102167,BC,2023-10-30,2024-02-05,102167BC
102167,MB,2023-11-27,2025-03-17,102167MB
102167,NU,2024-02-12,2025-05-05,102167NU
102167,ON,2023-12-25,2025-04-14,102167ON
102167,SK,2023-12-04,2025-03-10,102167SK
102167,YT,2025-04-28,2025-04-28,102167YT
102168,AB,2023-09-25,2024-02-26,102168AB
102168,MB,2023-12-11,2025-06-16,102168MB
102168,NU,2024-09-23,2025-05-05,102168NU
102168,ON,2023-12-25,2025-06-16,102168ON
102168,SK,2023-11-20,2025-06-09,102168SK
102174,NB,2024-12-30,2024-12-30,102174NB
102174,QC,2023-08-07,2024-04-15,102174QC
102176,AB,2024-02-19,2024-11-11,102176AB
102176,MB,2024-03-11,2025-05-26,102176MB
102176,NT,2025-05-19,2025-05-19,102176NT
102176,NU,2024-07-29,2025-06-09,102176NU
102176,ON,2024-06-03,2025-01-06,102176ON
102176,SK,2024-04-29,2025-02-03,102176SK
102176,YT,2024-11-11,2024-11-11,102176YT
102177,AB,2024-02-19,2024-04-29,102177AB
102177,BC,2024-08-12,2024-12-02,102177BC
102177,MB,2024-03-04,2025-06-09,102177MB
102177,NU,2024-03-25,2025-05-05,102177NU
102177,ON,2024-04-01,2025-04-28,102177ON
102177,SK,2024-04-08,2024-11-25,102177SK
102178,AB,2024-02-19,2025-02-03,102178AB
102178,MB,2024-03-04,2025-05-26,102178MB
102178,NT,2025-05-19,2025-05-19,102178NT
102178,NU,2024-03-25,2025-06-09,102178NU
102178,ON,2024-06-03,2025-01-20,102178ON
102178,SK,2024-03-18,2025-02-10,102178SK
102184,AB,2024-07-01,2024-08-12,102184AB
102184,MB,2024-08-26,2025-05-26,102184MB
102184,NU,2025-06-09,2025-06-09,102184NU
102184,ON,2024-05-20,2025-01-27,102184ON
102184,SK,2024-08-26,2025-04-07,102184SK
102184,YT,2024-10-14,2025-04-28,102184YT
102189,BC,2023-09-25,2025-04-07,102189BC
102194,AB,2024-04-08,2025-03-03,102194AB
102194,MB,2024-03-04,2025-06-16,102194MB
102194,NL,2024-07-15,2024-12-30,102194NL
102194,NS,2024-04-08,2024-04-08,102194NS
102194,NT,2025-04-28,2025-05-19,102194NT
102194,NU,2024-03-25,2025-05-05,102194NU
102194,ON,2024-07-01,2025-06-16,102194ON
102194,PE,2024-05-06,2024-07-01,102194PE
102194,SK,2024-02-05,2025-06-02,102194SK
102195,AB,2024-04-08,2025-03-03,102195AB
102195,MB,2024-03-04,2025-06-16,102195MB
102195,NL,2024-07-15,2025-01-27,102195NL
102195,NS,2024-04-08,2024-04-08,102195NS
102195,NT,2025-04-28,2025-05-19,102195NT
102195,NU,2024-03-25,2025-05-05,102195NU
102195,ON,2024-07-01,2025-06-16,102195ON
102195,PE,2024-05-06,2024-10-07,102195PE
102195,SK,2024-02-05,2025-06-02,102195SK
102207,QC,2023-11-20,2025-06-16,102207QC
102208,QC,2023-11-20,2025-06-16,102208QC
102210,QC,2023-11-20,2024-08-26,102210QC
102211,QC,2023-11-20,2025-02-03,102211QC
102212,AB,2024-01-29,2024-08-19,102212AB
102212,MB,2024-03-04,2025-04-28,102212MB
102212,NU,2024-03-25,2025-05-05,102212NU
102212,ON,2024-04-22,2025-04-28,102212ON
102212,SK,2024-03-04,2024-10-21,102212SK
102224,AB,2023-12-04,2025-06-09,102224AB
102224,MB,2024-02-05,2025-06-16,102224MB
102224,NB,2023-12-18,2025-05-05,102224NB
102224,NL,2024-01-22,2025-01-27,102224NL
102224,NU,2024-07-29,2024-07-29,102224NU
102224,ON,2024-01-29,2025-06-09,102224ON
102224,PE,2024-11-04,2024-12-02,102224PE
102224,SK,2024-01-08,2025-06-09,102224SK
102225,AB,2023-12-04,2024-10-14,102225AB
102225,MB,2024-02-05,2025-06-16,102225MB
102225,NB,2023-12-18,2025-05-05,102225NB
102225,NL,2024-01-22,2025-06-16,102225NL
102225,NU,2024-02-12,2024-02-12,102225NU
102225,ON,2023-12-25,2025-06-16,102225ON
102225,PE,2024-11-04,2025-05-19,102225PE
102225,SK,2024-01-08,2025-06-09,102225SK
102226,AB,2023-12-04,2024-04-29,102226AB
102226,MB,2023-12-11,2025-05-19,102226MB
102226,ON,2023-12-25,2025-04-07,102226ON
102226,SK,2023-11-20,2025-05-19,102226SK
102227,MB,2024-02-05,2025-05-19,102227MB
102227,NU,2024-02-12,2024-02-12,102227NU
102227,ON,2023-12-25,2025-05-05,102227ON
102227,SK,2024-01-15,2025-02-17,102227SK
102228,QC,2023-11-20,2024-08-26,102228QC
102232,BC,2024-07-29,2024-07-29,102232BC
102232,MB,2024-10-14,2024-12-30,102232MB
102232,NU,2024-09-23,2025-05-05,102232NU
102232,ON,2024-06-03,2025-06-16,102232ON
102232,SK,2024-10-14,2024-10-21,102232SK
102237,AB,2024-08-12,2024-10-07,102237AB
102237,BC,2024-08-12,2024-10-21,102237BC
102237,MB,2024-08-12,2025-05-26,102237MB
102237,NL,2024-08-12,2025-02-17,102237NL
102237,NU,2024-09-23,2025-05-05,102237NU
102237,ON,2024-11-18,2025-06-16,102237ON
102237,SK,2024-08-05,2024-10-14,102237SK
102237,YT,2024-11-11,2025-04-28,102237YT
102238,AB,2024-04-29,2024-06-10,102238AB
102238,MB,2024-06-03,2025-01-06,102238MB
102238,NB,2025-04-07,2025-04-07,102238NB
102238,NU,2024-07-29,2024-11-25,102238NU
102238,PE,2024-07-29,2024-10-07,102238PE
102238,SK,2024-05-20,2024-10-14,102238SK
102238,YT,2024-11-11,2024-12-16,102238YT
102241,AB,2024-01-29,2025-03-03,102241AB
102241,BC,2024-01-15,2025-03-03,102241BC
102241,MB,2024-02-05,2025-06-16,102241MB
102241,NL,2024-01-22,2024-11-04,102241NL
102241,NS,2024-04-08,2025-06-16,102241NS
102241,NT,2025-05-19,2025-05-19,102241NT
102241,NU,2024-03-25,2025-02-10,102241NU
102241,ON,2024-04-01,2025-06-16,102241ON
102241,PE,2025-01-13,2025-06-02,102241PE
102241,SK,2024-01-22,2025-06-16,102241SK
102241,YT,2024-10-14,2025-06-02,102241YT
102242,AB,2024-01-29,2025-01-27,102242AB
102242,MB,2024-02-05,2025-05-19,102242MB
102242,NL,2024-01-22,2024-09-30,102242NL
102242,NT,2025-04-28,2025-04-28,102242NT
102242,NU,2025-02-10,2025-02-10,102242NU
102242,ON,2024-04-01,2025-05-26,102242ON
102242,PE,2024-06-17,2024-07-29,102242PE
102242,SK,2024-01-29,2025-03-10,102242SK
102242,YT,2024-10-14,2024-11-11,102242YT
102243,AB,2024-01-29,2025-06-09,102243AB
102243,BC,2024-03-11,2024-11-11,102243BC
102243,MB,2024-02-05,2025-06-16,102243MB
102243,NL,2024-01-22,2025-05-26,102243NL
102243,NS,2024-04-08,2025-06-16,102243NS
102243,NT,2025-04-28,2025-04-28,102243NT
102243,NU,2024-03-25,2025-05-05,102243NU
102243,ON,2024-05-20,2025-06-16,102243ON
102243,PE,2024-12-02,2025-05-19,102243PE
102243,SK,2024-02-05,2025-05-26,102243SK
102243,YT,2024-10-14,2025-04-28,102243YT
102244,AB,2024-08-05,2025-06-09,102244AB
102244,BC,2024-06-10,2025-05-19,102244BC
102244,MB,2024-05-20,2025-06-16,102244MB
102244,NT,2025-05-19,2025-05-19,102244NT
102244,NU,2024-06-17,2025-05-05,102244NU
102244,ON,2024-06-03,2025-06-16,102244ON
102244,SK,2024-05-20,2025-04-14,102244SK
102245,AB,2024-04-08,2024-10-14,102245AB
102245,MB,2024-03-11,2025-02-03,102245MB
102245,NB,2025-04-07,2025-05-05,102245NB
102245,NU,2024-05-06,2024-11-25,102245NU
102245,ON,2024-06-03,2025-03-17,102245ON
102245,PE,2024-05-06,2024-06-17,102245PE
102245,SK,2024-04-29,2025-03-10,102245SK
102245,YT,2024-10-14,2025-06-02,102245YT
102246,AB,2024-04-08,2024-10-14,102246AB
102246,MB,2024-03-11,2025-02-03,102246MB
102246,NB,2025-04-07,2025-05-05,102246NB
102246,NU,2024-05-06,2024-11-25,102246NU
102246,ON,2024-06-03,2025-02-24,102246ON
102246,SK,2024-04-29,2024-10-21,102246SK
102246,YT,2024-10-14,2025-06-02,102246YT
102247,AB,2024-05-13,2024-06-24,102247AB
102247,MB,2024-03-04,2025-06-09,102247MB
102247,NU,2024-03-25,2024-03-25,102247NU
102247,ON,2024-05-20,2025-06-16,102247ON
102247,SK,2024-02-19,2025-04-07,102247SK
102248,AB,2024-05-13,2024-12-02,102248AB
102248,BC,2024-02-12,2024-02-12,102248BC
102248,MB,2024-03-04,2025-06-16,102248MB
102248,NU,2024-03-25,2024-03-25,102248NU
102248,ON,2024-05-20,2025-06-16,102248ON
102248,SK,2024-02-19,2025-04-07,102248SK
102249,AB,2024-05-20,2024-12-16,102249AB
102249,BC,2024-02-12,2024-02-12,102249BC
102249,MB,2024-03-04,2025-06-09,102249MB
102249,ON,2024-05-20,2025-06-16,102249ON
102249,SK,2024-02-19,2025-05-05,102249SK
102252,AB,2024-05-06,2025-03-10,102252AB
102252,BC,2024-05-27,2024-07-15,102252BC
102252,MB,2024-05-27,2025-04-07,102252MB
102252,NB,2025-03-24,2025-05-26,102252NB
102252,NL,2024-11-25,2024-11-25,102252NL
102252,NU,2024-09-23,2024-09-23,102252NU
102252,ON,2024-07-15,2025-02-03,102252ON
102252,PE,2024-10-21,2025-04-07,102252PE
102252,SK,2024-05-13,2025-03-31,102252SK
102252,YT,2024-10-14,2024-10-14,102252YT
102253,AB,2024-05-06,2025-06-16,102253AB
102253,MB,2024-05-27,2025-06-16,102253MB
102253,NS,2025-04-07,2025-06-16,102253NS
102253,NT,2025-03-31,2025-05-26,102253NT
102253,NU,2024-06-17,2025-06-09,102253NU
102253,ON,2024-07-01,2025-06-16,102253ON
102253,PE,2024-07-29,2025-05-19,102253PE
102253,SK,2024-05-13,2025-06-16,102253SK
102253,YT,2024-10-14,2025-06-02,102253YT
102260,AB,2024-10-14,2024-10-14,102260AB
102260,MB,2024-11-18,2025-02-10,102260MB
102260,ON,2024-09-02,2025-03-24,102260ON
102260,SK,2024-10-21,2025-01-13,102260SK
102261,AB,2024-10-28,2024-12-23,102261AB
102261,MB,2025-02-10,2025-06-16,102261MB
102261,NT,2025-05-19,2025-05-19,102261NT
102261,ON,2024-11-18,2025-06-16,102261ON
102262,AB,2024-02-26,2024-02-26,102262AB
102262,MB,2024-03-11,2025-01-13,102262MB
102262,NU,2024-03-25,2024-05-06,102262NU
102262,ON,2024-11-18,2025-04-21,102262ON
102262,PE,2024-07-29,2024-12-16,102262PE
102262,SK,2024-06-03,2025-01-27,102262SK
102263,AB,2024-02-26,2024-02-26,102263AB
102263,MB,2024-03-11,2024-12-23,102263MB
102263,NU,2024-03-25,2024-05-06,102263NU
102263,ON,2025-04-21,2025-04-21,102263ON
102263,PE,2024-07-29,2024-07-29,102263PE
102263,SK,2024-05-20,2024-10-14,102263SK
102270,QC,2024-04-08,2025-06-16,102270QC
102276,AB,2024-09-09,2024-11-04,102276AB
102276,MB,2025-01-27,2025-06-09,102276MB
102276,NT,2025-05-19,2025-05-19,102276NT
102276,NU,2025-05-05,2025-05-05,102276NU
102276,SK,2025-03-10,2025-03-10,102276SK
102279,QC,2024-04-22,2024-09-23,102279QC
102280,NB,2024-12-30,2024-12-30,102280NB
102280,QC,2024-05-06,2025-02-10,102280QC
102282,QC,2024-05-06,2025-03-31,102282QC
102286,QC,2024-04-22,2025-06-16,102286QC
102287,QC,2024-04-22,2025-02-10,102287QC
102302,MB,2024-08-26,2025-05-26,102302MB
102302,NU,2024-09-23,2025-05-05,102302NU
102302,ON,2024-10-21,2025-05-26,102302ON
102302,SK,2024-08-26,2025-04-14,102302SK
102303,AB,2024-08-05,2024-12-30,102303AB
102303,BC,2024-08-12,2024-12-30,102303BC
102303,MB,2024-08-26,2025-05-12,102303MB
102303,NU,2024-11-11,2025-05-05,102303NU
102303,SK,2024-08-26,2025-06-02,102303SK
102309,MB,2024-10-28,2025-06-09,102309MB
102309,ON,2024-07-22,2025-03-17,102309ON
102309,SK,2024-11-04,2024-11-04,102309SK
102310,AB,2024-07-15,2024-12-02,102310AB
102310,MB,2024-11-18,2025-05-26,102310MB
102310,NU,2025-05-05,2025-05-05,102310NU
102310,ON,2025-02-24,2025-06-02,102310ON
102310,SK,2024-08-26,2025-01-27,102310SK
102311,AB,2024-07-15,2025-02-17,102311AB
102311,MB,2024-08-26,2025-06-09,102311MB
102311,NU,2024-09-23,2024-11-25,102311NU
102311,ON,2024-07-15,2025-04-28,102311ON
102311,SK,2024-08-26,2025-01-06,102311SK
102313,AB,2024-07-15,2024-09-09,102313AB
102313,MB,2024-10-28,2025-06-09,102313MB
102313,NU,2024-10-28,2025-05-05,102313NU
102313,ON,2024-07-15,2025-04-07,102313ON
102313,SK,2024-09-30,2025-04-07,102313SK
102315,AB,2024-06-17,2024-06-17,102315AB
102315,MB,2024-11-11,2025-05-19,102315MB
102315,NU,2024-11-11,2024-11-25,102315NU
102315,ON,2024-08-26,2025-01-20,102315ON
102315,SK,2025-01-13,2025-01-13,102315SK
102316,MB,2024-11-11,2025-02-03,102316MB
102316,NL,2024-12-02,2025-02-17,102316NL
102316,NU,2024-11-11,2024-12-16,102316NU
102316,ON,2024-07-01,2024-10-28,102316ON
102316,SK,2024-12-09,2025-02-03,102316SK
102319,QC,2024-04-22,2024-12-02,102319QC
102320,AB,2024-07-15,2024-08-12,102320AB
102320,MB,2025-02-03,2025-06-09,102320MB
102320,NU,2025-02-10,2025-05-05,102320NU
102320,ON,2024-07-22,2025-03-31,102320ON
102320,SK,2025-02-03,2025-05-05,102320SK
102321,QC,2024-04-22,2025-02-10,102321QC
102327,AB,2024-09-16,2024-09-16,102327AB
102327,MB,2024-12-02,2025-06-09,102327MB
102327,NU,2025-05-05,2025-05-05,102327NU
102327,ON,2024-10-28,2025-03-03,102327ON
102327,SK,2024-11-18,2025-01-06,102327SK
102329,AB,2024-12-23,2025-06-16,102329AB
102329,BC,2024-11-18,2025-06-16,102329BC
102329,MB,2024-11-11,2025-06-16,102329MB
102329,NL,2024-11-25,2025-06-16,102329NL
102329,NS,2025-05-05,2025-06-16,102329NS
102329,NT,2025-05-19,2025-05-19,102329NT
102329,NU,2024-12-16,2025-06-09,102329NU
102329,ON,2024-11-11,2025-06-09,102329ON
102329,PE,2024-12-02,2025-04-21,102329PE
102329,SK,2024-11-04,2025-06-16,102329SK
102329,YT,2024-12-16,2025-04-28,102329YT
102330,AB,2024-12-23,2025-06-16,102330AB
102330,MB,2024-11-11,2025-06-16,102330MB
102330,NL,2024-11-25,2025-03-31,102330NL
102330,NS,2025-05-05,2025-06-02,102330NS
102330,NU,2024-12-16,2025-06-09,102330NU
102330,ON,2024-11-11,2025-06-09,102330ON
102330,SK,2024-11-04,2025-06-16,102330SK
102330,YT,2024-12-16,2025-04-28,102330YT
102331,AB,2024-12-23,2025-06-16,102331AB
102331,BC,2024-11-18,2025-06-16,102331BC
102331,MB,2024-11-18,2025-06-16,102331MB
102331,NB,2025-02-24,2025-06-02,102331NB
102331,NL,2024-11-25,2025-04-07,102331NL
102331,NU,2024-12-16,2025-06-09,102331NU
102331,ON,2024-11-11,2025-06-09,102331ON
102331,PE,2024-12-02,2025-04-07,102331PE
102331,SK,2024-11-04,2025-06-16,102331SK
102331,YT,2024-12-16,2025-06-02,102331YT
102358,AB,2025-05-12,2025-06-09,102358AB
102358,MB,2025-01-27,2025-05-26,102358MB
102358,ON,2024-11-18,2025-06-16,102358ON
102358,PE,2025-01-27,2025-04-21,102358PE
102358,SK,2025-01-27,2025-02-10,102358SK
102381,AB,2024-07-08,2025-06-16,102381AB
102381,MB,2024-07-15,2025-06-16,102381MB
102381,NL,2024-07-15,2025-06-16,102381NL
102381,NS,2025-04-07,2025-05-19,102381NS
102381,NT,2025-05-19,2025-05-19,102381NT
102381,NU,2024-07-29,2025-05-05,102381NU
102381,ON,2024-08-05,2025-06-09,102381ON
102381,PE,2024-11-04,2025-06-02,102381PE
102381,SK,2024-07-08,2025-06-09,102381SK
102382,AB,2024-07-08,2025-06-16,102382AB
102382,MB,2024-07-15,2025-06-16,102382MB
102382,NL,2024-07-15,2025-06-16,102382NL
102382,NS,2025-04-07,2025-06-16,102382NS
102382,NT,2025-05-26,2025-05-26,102382NT
102382,NU,2024-07-29,2025-05-05,102382NU
102382,ON,2025-01-20,2025-06-16,102382ON
102382,PE,2024-11-04,2025-04-07,102382PE
102382,SK,2024-07-08,2025-06-09,102382SK
102383,AB,2024-10-21,2025-06-16,102383AB
102383,MB,2024-07-15,2025-06-16,102383MB
102383,NT,2025-05-19,2025-05-26,102383NT
102383,NU,2024-07-29,2025-05-05,102383NU
102383,ON,2024-11-18,2025-06-16,102383ON
102383,PE,2024-11-04,2025-05-05,102383PE
102383,SK,2024-07-08,2025-06-16,102383SK
102384,AB,2024-09-23,2025-02-10,102384AB
102384,BC,2024-09-16,2024-10-28,102384BC
102384,MB,2024-12-02,2025-06-09,102384MB
102384,SK,2024-11-25,2025-05-05,102384SK
102390,AB,2024-10-07,2025-06-16,102390AB
102390,BC,2024-10-07,2025-06-16,102390BC
102390,MB,2024-11-11,2025-06-16,102390MB
102390,NT,2025-05-19,2025-05-26,102390NT
102390,SK,2024-11-04,2025-01-06,102390SK
102390,YT,2024-11-11,2025-02-10,102390YT
102391,MB,2024-12-02,2024-12-02,102391MB
102391,NS,2024-08-12,2024-09-09,102391NS
102391,NU,2025-02-10,2025-05-05,102391NU
102391,ON,2024-11-11,2024-12-02,102391ON
102391,SK,2024-11-18,2025-05-26,102391SK
102392,ON,2024-10-21,2024-11-04,102392ON
102392,PE,2024-10-21,2024-10-21,102392PE
102393,AB,2024-10-07,2024-10-28,102393AB
102393,MB,2025-01-20,2025-05-05,102393MB
102393,ON,2024-10-21,2025-04-14,102393ON
102393,PE,2024-11-18,2024-12-16,102393PE
102393,SK,2025-01-20,2025-01-20,102393SK
102393,YT,2024-11-11,2025-02-10,102393YT
102395,BC,2024-05-27,2024-10-07,102395BC
102397,BC,2024-05-27,2024-10-07,102397BC
102404,AB,2024-10-07,2025-05-26,102404AB
102404,MB,2024-11-11,2025-06-16,102404MB
102404,PE,2024-11-04,2025-05-19,102404PE
102404,SK,2024-11-04,2025-03-17,102404SK
102404,YT,2024-11-11,2025-04-28,102404YT
102405,AB,2024-10-07,2025-06-09,102405AB
102405,BC,2024-10-07,2025-05-12,102405BC
102405,MB,2024-11-11,2025-06-16,102405MB
102405,NL,2024-11-25,2025-05-26,102405NL
102405,NT,2025-05-19,2025-05-26,102405NT
102405,ON,2025-06-16,2025-06-16,102405ON
102405,SK,2024-11-04,2025-03-10,102405SK
102405,YT,2024-11-11,2025-04-28,102405YT
102408,AB,2024-11-11,2024-11-11,102408AB
102408,MB,2024-11-25,2025-06-16,102408MB
102408,NT,2025-03-31,2025-05-26,102408NT
102408,NU,2025-02-10,2025-06-09,102408NU
102408,ON,2024-11-18,2025-06-16,102408ON
102408,PE,2024-12-02,2025-06-02,102408PE
102408,SK,2025-02-03,2025-05-26,102408SK
102409,AB,2024-11-11,2025-06-02,102409AB
102409,MB,2024-11-25,2025-06-02,102409MB
102409,NS,2025-04-07,2025-06-16,102409NS
102409,NT,2025-03-31,2025-05-26,102409NT
102409,NU,2025-06-09,2025-06-09,102409NU
102409,ON,2024-11-11,2025-05-26,102409ON
102409,SK,2025-03-17,2025-05-26,102409SK
102420,AB,2024-08-05,2025-06-09,102420AB
102420,BC,2024-07-29,2024-09-23,102420BC
102420,MB,2024-09-02,2025-06-16,102420MB
102420,NL,2024-07-15,2025-02-03,102420NL
102420,NS,2024-08-12,2024-08-12,102420NS
102420,NT,2025-05-19,2025-05-19,102420NT
102420,NU,2024-10-28,2025-05-05,102420NU
102420,ON,2024-10-14,2024-12-30,102420ON
102420,PE,2024-09-09,2024-12-16,102420PE
102420,SK,2024-08-05,2025-06-16,102420SK
102421,MB,2025-02-17,2025-06-09,102421MB
102421,NU,2025-02-10,2025-02-10,102421NU
102421,ON,2024-10-28,2025-06-02,102421ON
102421,SK,2025-01-20,2025-03-10,102421SK
102422,BC,2024-09-30,2024-09-30,102422BC
102422,MB,2024-11-25,2025-03-03,102422MB
102422,NL,2024-11-25,2024-11-25,102422NL
102422,NS,2024-10-07,2024-10-07,102422NS
102422,NU,2024-12-16,2025-02-10,102422NU
102422,ON,2024-11-11,2025-02-17,102422ON
102422,PE,2024-10-21,2024-10-21,102422PE
102422,SK,2024-11-11,2025-02-03,102422SK
102423,BC,2024-07-29,2024-12-09,102423BC
102423,MB,2024-09-02,2025-06-09,102423MB
102423,NS,2024-08-12,2025-06-16,102423NS
102423,NU,2024-09-23,2025-02-10,102423NU
102423,ON,2024-10-14,2025-06-16,102423ON
102423,PE,2024-09-09,2025-01-13,102423PE
102423,SK,2024-08-05,2025-03-24,102423SK
102424,MB,2024-12-30,2025-06-16,102424MB
102424,NU,2025-06-09,2025-06-09,102424NU
102424,ON,2024-11-11,2025-03-17,102424ON
102424,PE,2024-12-02,2025-05-05,102424PE
102424,SK,2025-01-06,2025-04-14,102424SK
102428,MB,2025-02-03,2025-06-16,102428MB
102428,NL,2024-12-02,2025-01-27,102428NL
102428,NU,2025-05-05,2025-05-05,102428NU
102428,ON,2024-11-25,2025-06-09,102428ON
102428,SK,2025-01-20,2025-03-10,102428SK
102430,MB,2025-02-03,2025-06-16,102430MB
102430,NL,2024-12-02,2025-01-27,102430NL
102430,NU,2025-05-05,2025-05-05,102430NU
102430,ON,2024-11-25,2025-06-09,102430ON
102430,SK,2025-01-20,2025-03-10,102430SK
102436,AB,2024-12-23,2025-05-26,102436AB
102436,BC,2024-11-18,2025-05-26,102436BC
102436,MB,2025-02-10,2025-06-16,102436MB
102436,NL,2024-11-25,2025-04-14,102436NL
102436,NU,2024-12-16,2025-05-05,102436NU
102436,ON,2024-11-18,2025-06-16,102436ON
102436,PE,2024-12-16,2025-05-05,102436PE
102436,SK,2024-12-09,2025-06-09,102436SK
102436,YT,2024-12-16,2025-06-02,102436YT
102437,AB,2024-12-23,2025-06-16,102437AB
102437,BC,2025-03-24,2025-05-12,102437BC
102437,MB,2024-11-11,2025-06-16,102437MB
102437,NB,2025-02-24,2025-06-02,102437NB
102437,NL,2024-11-25,2025-06-16,102437NL
102437,NS,2025-05-05,2025-06-16,102437NS
102437,NT,2025-04-28,2025-05-19,102437NT
102437,NU,2024-12-16,2025-06-09,102437NU
102437,ON,2024-11-11,2025-06-09,102437ON
102437,SK,2024-11-04,2025-06-16,102437SK
102437,YT,2024-12-16,2025-06-02,102437YT
102438,AB,2024-10-21,2025-06-16,102438AB
102438,MB,2024-11-11,2025-06-16,102438MB
102438,NL,2024-12-30,2025-06-16,102438NL
102438,NS,2025-05-05,2025-06-16,102438NS
102438,NT,2025-04-28,2025-05-19,102438NT
102438,NU,2024-12-16,2025-06-09,102438NU
102438,ON,2024-11-18,2025-06-09,102438ON
102438,SK,2024-11-04,2025-06-16,102438SK
102438,YT,2024-12-16,2025-06-02,102438YT
102439,MB,2024-12-02,2024-12-02,102439MB
102439,NS,2024-08-12,2024-09-09,102439NS
102439,NU,2025-02-10,2025-05-05,102439NU
102439,ON,2025-01-20,2025-06-16,102439ON
102439,SK,2024-11-18,2025-05-26,102439SK
102444,QC,2024-10-21,2025-02-10,102444QC
102447,QC,2024-10-07,2025-06-16,102447QC
102448,QC,2025-04-14,2025-06-16,102448QC
102456,QC,2024-10-21,2025-02-03,102456QC
102474,AB,2024-12-23,2025-01-27,102474AB
102474,MB,2025-01-20,2025-06-16,102474MB
102474,NT,2025-05-19,2025-05-26,102474NT
102474,NU,2025-05-05,2025-05-05,102474NU
102474,ON,2025-02-24,2025-06-16,102474ON
102474,SK,2025-01-20,2025-06-09,102474SK
102475,BC,2024-11-04,2024-11-04,102475BC
102475,MB,2025-01-27,2025-02-17,102475MB
102475,NS,2024-11-04,2024-11-04,102475NS
102475,NU,2024-12-16,2025-02-10,102475NU
102475,PE,2024-11-18,2025-01-27,102475PE
102475,SK,2025-01-06,2025-02-17,102475SK
102477,MB,2025-01-27,2025-05-05,102477MB
102477,NU,2025-05-05,2025-05-05,102477NU
102477,ON,2025-01-20,2025-04-07,102477ON
102477,SK,2025-02-03,2025-05-12,102477SK
102478,AB,2024-12-02,2024-12-30,102478AB
102478,MB,2025-02-17,2025-04-14,102478MB
102478,NU,2025-02-10,2025-06-09,102478NU
102478,ON,2025-01-27,2025-05-12,102478ON
102478,SK,2025-02-03,2025-06-09,102478SK
102479,AB,2024-12-02,2024-12-02,102479AB
102479,MB,2025-01-27,2025-06-09,102479MB
102479,NU,2025-02-10,2025-06-09,102479NU
102479,ON,2025-01-20,2025-04-21,102479ON
102479,SK,2025-01-20,2025-05-12,102479SK
102480,AB,2024-12-02,2024-12-30,102480AB
102480,ON,2025-02-24,2025-05-12,102480ON
102486,AB,2025-03-03,2025-05-19,102486AB
102486,NT,2025-04-28,2025-05-19,102486NT
102491,AB,2024-11-18,2024-11-18,102491AB
102491,MB,2025-02-24,2025-06-02,102491MB
102491,NT,2025-04-28,2025-04-28,102491NT
102491,NU,2025-06-09,2025-06-09,102491NU
102491,ON,2025-02-24,2025-03-31,102491ON
102491,SK,2025-02-10,2025-03-24,102491SK
102492,AB,2024-11-18,2024-11-18,102492AB
102492,MB,2025-02-24,2025-06-02,102492MB
102492,NT,2025-04-28,2025-04-28,102492NT
102492,NU,2025-06-09,2025-06-09,102492NU
102492,ON,2025-02-24,2025-04-07,102492ON
102492,SK,2025-02-10,2025-03-10,102492SK
102495,MB,2025-02-03,2025-06-09,102495MB
102495,ON,2025-02-24,2025-06-16,102495ON
102496,AB,2024-12-02,2025-06-16,102496AB
102496,MB,2025-01-20,2025-06-09,102496MB
102496,NT,2025-05-19,2025-05-19,102496NT
102496,NU,2025-02-10,2025-05-05,102496NU
102496,SK,2025-01-20,2025-06-16,102496SK
102502,AB,2025-01-20,2025-03-03,102502AB
102502,MB,2025-02-03,2025-04-14,102502MB
102502,NT,2025-04-28,2025-04-28,102502NT
102502,NU,2025-02-10,2025-05-05,102502NU
102502,ON,2025-01-13,2025-06-16,102502ON
102502,PE,2025-01-27,2025-04-21,102502PE
102502,SK,2025-04-14,2025-04-14,102502SK
102503,AB,2024-11-11,2024-11-11,102503AB
102513,AB,2025-03-10,2025-03-10,102513AB
102513,ON,2025-01-27,2025-06-16,102513ON
102514,AB,2025-03-10,2025-05-26,102514AB
102514,ON,2025-01-27,2025-06-16,102514ON
102523,AB,2025-04-28,2025-04-28,102523AB
102523,ON,2025-04-14,2025-06-16,102523ON
102524,ON,2025-06-16,2025-06-16,102524ON
102531,NL,2025-04-28,2025-06-16,102531NL
102531,ON,2025-04-14,2025-06-16,102531ON
102532,NL,2025-06-02,2025-06-16,102532NL
102533,AB,2025-04-28,2025-06-16,102533AB
102533,NL,2025-04-28,2025-06-16,102533NL
102533,ON,2025-04-14,2025-05-12,102533ON
102534,NL,2025-04-21,2025-04-21,102534NL
102534,ON,2025-05-12,2025-06-16,102534ON
102535,NL,2025-05-19,2025-06-16,102535NL
102535,PE,2025-05-19,2025-06-02,102535PE
