part,prov,first_ship,last_ship,partprov
101921,AB,2024-02-26,2024-02-26,101921AB
101921,MB,2023-08-14,2024-03-11,101921MB
101921,ON,2023-07-31,2025-04-21,101921ON
101921,PE,2023-09-11,2024-06-17,101921PE
101921,SK,2023-08-21,2024-09-30,101921SK
101922,AB,2023-08-28,2024-01-29,101922AB
101922,MB,2023-07-31,2025-01-20,101922MB
101922,NU,2024-09-23,2024-12-16,101922NU
101922,ON,2023-08-07,2024-05-06,101922ON
101922,SK,2023-07-31,2025-01-20,101922SK
101924,SK,2024-01-08,2024-08-26,101924SK
101928,ON,2023-07-31,2023-07-31,101928ON
101932,ON,2025-04-21,2025-04-21,101932ON
101936,MB,2023-07-31,2024-05-20,101936MB
101936,NT,2023-10-23,2023-12-18,101936NT
101936,ON,2023-08-21,2025-04-21,101936ON
101936,QC,2023-08-28,2023-10-02,101936QC
101936,SK,2024-03-18,2024-08-05,101936SK
101938,MB,2023-07-31,2023-08-28,101938MB
101938,NS,2023-08-14,2024-01-01,101938NS
101938,NT,2023-10-23,2023-12-18,101938NT
101938,ON,2023-09-18,2024-01-01,101938ON
101938,PE,2023-12-04,2023-12-04,101938PE
101943,AB,2023-08-07,2024-03-11,101943AB
101943,BC,2023-08-07,2024-06-10,101943BC
101943,MB,2023-08-07,2024-07-15,101943MB
101943,NT,2023-10-23,2023-12-18,101943NT
101943,ON,2023-07-31,2024-06-17,101943ON
101943,PE,2023-07-31,2024-01-15,101943PE
101943,QC,2023-08-07,2023-12-18,101943QC
101943,SK,2023-08-21,2024-06-24,101943SK
101943,YT,2024-01-22,2024-07-22,101943YT
101944,AB,2023-07-31,2025-06-16,101944AB
101944,BC,2023-08-07,2025-06-16,101944BC
101944,MB,2024-11-18,2025-06-09,101944MB
101944,NT,2023-10-23,2025-02-17,101944NT
101944,ON,2023-07-31,2025-06-16,101944ON
101944,QC,2023-08-07,2025-06-16,101944QC
101944,SK,2024-12-09,2025-03-03,101944SK
